iter	Passed	Remaining
0	2343	231966
1	3997	195872
2	5560	179776
3	7238	173735
4	8868	168498
5	10781	168905
6	12434	165204
7	14080	161929
8	15693	158681
9	17656	158912
10	19394	156918
11	21240	155765
12	23019	154056
13	24683	151627
14	26346	149294
15	30702	161187
16	32464	158504
17	34303	156270
18	36282	154679
19	38005	152022
20	40585	152678
21	45859	162593
22	47464	158902
23	49235	155911
24	51038	153116
25	52793	150258
26	54614	147662
27	56336	144864
28	57956	141893
29	59794	139521
30	61398	136662
31	63220	134342
32	64940	131848
33	66895	129855
34	68607	127414
35	70145	124703
36	72125	122807
37	74305	121234
38	75942	118781
39	77629	116444
40	79317	114140
41	81063	111944
42	82726	109660
43	84338	107339
44	86025	105142
45	87680	102928
46	89360	100767
47	91006	98590
48	92576	96355
49	94038	94038
50	95592	91843
51	97464	89967
52	99134	87911
53	100705	85786
54	104320	85352
55	106075	83345
56	107747	81283
57	109343	79179
58	110950	77100
59	112713	75142
60	114260	73051
61	115864	71013
62	122293	71823
63	124024	69764
64	125712	67691
65	127242	65548
66	129206	63638
67	131235	61757
68	132731	59632
69	134351	57579
70	135965	55535
71	137702	53551
72	139274	51512
73	140819	49477
74	142390	47463
75	144128	45514
76	145808	43553
77	147270	41537
78	148916	39585
79	151122	37780
80	152700	35818
81	154363	33884
82	156026	31957
83	157597	30018
84	159234	28100
85	161247	26249
86	162760	24320
87	164305	22405
88	165851	20498
89	167429	18603
90	169084	16722
91	170647	14838
92	172267	12966
93	173855	11097
94	175451	9234
95	177029	7376
96	178616	5524
97	180163	3676
98	181834	1836
99	183488	0
