iter	RMSE
0	174.9480005
1	171.1348326
2	167.8869341
3	165.1647144
4	162.5640128
5	160.411384
6	158.5141269
7	156.6730899
8	155.0910442
9	153.5612261
10	152.323292
11	151.0620963
12	149.9246285
13	148.7473129
14	147.8120097
15	146.8147397
16	145.987781
17	145.1737849
18	144.5965589
19	143.8554929
20	143.1391637
21	142.5850941
22	142.0397341
23	141.4256659
24	140.8776835
25	140.4148939
26	139.8896685
27	139.4253825
28	139.1998077
29	138.8199458
30	138.3723418
31	138.0197676
32	137.6976567
33	137.3138094
34	137.0635887
35	136.8794648
36	136.5434863
37	136.2445463
38	135.9218899
39	135.7166122
40	135.3827739
41	135.0899761
42	134.9087537
43	134.6406773
44	134.3680485
45	133.9834097
46	133.7272916
47	133.6438172
48	133.4000282
49	133.2256241
50	133.0921847
51	132.8179079
52	132.5037524
53	132.4054749
54	132.1875367
55	131.9913066
56	131.7698301
57	131.5878584
58	131.3871229
59	131.2934002
60	131.1938569
61	131.1055997
62	130.9903222
63	130.8724976
64	130.6798056
65	130.489426
66	130.2855318
67	130.1397949
68	129.9951987
69	129.9139207
70	129.7909813
71	129.6652601
72	129.5469893
73	129.3178745
74	129.1107218
75	128.9734702
76	128.8959125
77	128.8090321
78	128.6952894
79	128.5645654
80	128.3395919
81	128.2281156
82	128.0730332
83	127.9625871
84	127.7751441
85	127.6588937
86	127.4896082
87	127.3038715
88	127.169988
89	127.0772798
90	126.9484686
91	126.840102
92	126.7269267
93	126.5800757
94	126.5178664
95	126.3928747
96	126.2142979
97	126.0105916
98	125.8900998
99	125.777727
