iter	Passed	Remaining
0	100	100077
1	152	76280
2	202	67237
3	252	62836
4	304	60575
5	360	59737
6	417	59266
7	467	57984
8	525	57829
9	597	59171
10	647	58223
11	698	57502
12	763	57944
13	824	58073
14	876	57532
15	933	57416
16	993	57424
17	1045	57023
18	1095	56563
19	1145	56131
20	1198	55870
21	1255	55792
22	1303	55364
23	1353	55052
24	1401	54656
25	1456	54578
26	1505	54269
27	1555	54013
28	1606	53791
29	1654	53510
30	1710	53459
31	1762	53325
32	1815	53185
33	1869	53121
34	1923	53035
35	1975	52895
36	2023	52654
37	2072	52475
38	2129	52470
39	2183	52401
40	2234	52276
41	2284	52118
42	2338	52051
43	2389	51921
44	2437	51722
45	2486	51566
46	2541	51528
47	2598	51538
48	2648	51409
49	2704	51380
50	2757	51318
51	2811	51250
52	2862	51147
53	2914	51066
54	2972	51073
55	3026	51018
56	3075	50885
57	3132	50869
58	3185	50805
59	3235	50693
60	3283	50549
61	3333	50436
62	3399	50558
63	3449	50452
64	3497	50316
65	3553	50283
66	3603	50182
67	3653	50079
68	3705	49994
69	3759	49950
70	3814	49916
71	3875	49947
72	3928	49892
73	3994	49982
74	4050	49960
75	4104	49896
76	4156	49821
77	4209	49761
78	4266	49739
79	4320	49685
80	4375	49640
81	4436	49670
82	4495	49670
83	4544	49556
84	4597	49490
85	4646	49387
86	4699	49322
87	4749	49217
88	4796	49099
89	4846	49006
90	4903	48982
91	4957	48931
92	5007	48838
93	5057	48748
94	5116	48742
95	5178	48767
96	5231	48697
97	5278	48583
98	5333	48544
99	5389	48507
100	5441	48434
101	5493	48363
102	5544	48287
103	5602	48268
104	5656	48212
105	5711	48169
106	5767	48130
107	5820	48069
108	5870	47988
109	5920	47900
110	5971	47823
111	6028	47800
112	6086	47773
113	6137	47698
114	6187	47617
115	6245	47592
116	6303	47574
117	6355	47504
118	6409	47453
119	6467	47426
120	6520	47364
121	6575	47321
122	6628	47259
123	6682	47205
124	6731	47123
125	6779	47023
126	6828	46940
127	6882	46885
128	6933	46813
129	6991	46791
130	7045	46736
131	7110	46754
132	7162	46691
133	7211	46603
134	7271	46590
135	7326	46544
136	7382	46502
137	7430	46415
138	7488	46385
139	7554	46404
140	7605	46331
141	7655	46255
142	7707	46189
143	7765	46163
144	7817	46094
145	7867	46019
146	7929	46011
147	7991	46002
148	8044	45948
149	8097	45887
150	8156	45861
151	8215	45831
152	8270	45785
153	8319	45704
154	8372	45642
155	8429	45603
156	8484	45555
157	8533	45478
158	8590	45439
159	8643	45380
160	8693	45305
161	8747	45247
162	8804	45212
163	8857	45151
164	8909	45088
165	8963	45034
166	9018	44986
167	9072	44928
168	9129	44893
169	9180	44821
170	9234	44768
171	9287	44710
172	9337	44634
173	9386	44560
174	9439	44498
175	9493	44447
176	9550	44406
177	9605	44357
178	9687	44431
179	9739	44370
180	9790	44298
181	9840	44229
182	9895	44176
183	9953	44143
184	10006	44081
185	10058	44018
186	10111	43960
187	10165	43904
188	10213	43827
189	10264	43759
190	10315	43693
191	10376	43668
192	10426	43596
193	10487	43572
194	10546	43539
195	10605	43505
196	10664	43467
197	10720	43424
198	10782	43402
199	10838	43352
200	10893	43304
201	10949	43255
202	11003	43201
203	11077	43224
204	11129	43160
205	11179	43091
206	11236	43047
207	11296	43013
208	11346	42942
209	11395	42870
210	11445	42798
211	11506	42769
212	11555	42696
213	11604	42623
214	11659	42571
215	11720	42540
216	11780	42507
217	11839	42470
218	11905	42458
219	11965	42421
220	12014	42348
221	12066	42288
222	12116	42218
223	12175	42180
224	12225	42110
225	12280	42058
226	12335	42006
227	12403	41996
228	12455	41935
229	12511	41885
230	12569	41845
231	12626	41797
232	12682	41749
233	12747	41729
234	12805	41684
235	12863	41643
236	12914	41578
237	12965	41511
238	13027	41479
239	13089	41449
240	13141	41386
241	13201	41349
242	13260	41309
243	13322	41277
244	13403	41305
245	13466	41274
246	13522	41225
247	13583	41187
248	13637	41131
249	13696	41090
250	13758	41056
251	13816	41011
252	13876	40972
253	13935	40928
254	13987	40865
255	14043	40813
256	14091	40739
257	14141	40671
258	14195	40613
259	14243	40540
260	14293	40470
261	14348	40415
262	14405	40369
263	14462	40320
264	14523	40281
265	14581	40236
266	14634	40175
267	14691	40127
268	14748	40078
269	14801	40017
270	14867	39994
271	14920	39933
272	14970	39867
273	15038	39845
274	15089	39782
275	15139	39712
276	15191	39651
277	15253	39614
278	15315	39579
279	15375	39537
280	15431	39485
281	15494	39450
282	15555	39410
283	15615	39368
284	15666	39304
285	15732	39275
286	15784	39214
287	15835	39149
288	15893	39100
289	15947	39043
290	16010	39009
291	16068	38961
292	16127	38914
293	16192	38884
294	16252	38840
295	16302	38772
296	16351	38702
297	16406	38649
298	16465	38603
299	16521	38549
300	16579	38500
301	16635	38449
302	16698	38411
303	16748	38344
304	16799	38280
305	16855	38227
306	16920	38194
307	16980	38150
308	17033	38091
309	17089	38038
310	17146	37986
311	17201	37931
312	17259	37882
313	17320	37841
314	17375	37784
315	17426	37719
316	17474	37650
317	17523	37582
318	17580	37530
319	17632	37469
320	17693	37425
321	17746	37367
322	17803	37315
323	17862	37267
324	17912	37202
325	17974	37161
326	18029	37106
327	18096	37074
328	18159	37036
329	18222	36996
330	18278	36944
331	18334	36890
332	18387	36830
333	18446	36781
334	18500	36725
335	18549	36658
336	18604	36602
337	18654	36536
338	18718	36498
339	18769	36434
340	18825	36380
341	18884	36333
342	18935	36270
343	18985	36204
344	19042	36153
345	19106	36115
346	19169	36073
347	19223	36016
348	19277	35958
349	19332	35903
350	19398	35868
351	19451	35808
352	19507	35755
353	19566	35706
354	19631	35669
355	19699	35635
356	19759	35588
357	19820	35544
358	19872	35482
359	19923	35419
360	19977	35362
361	20037	35314
362	20095	35264
363	20155	35216
364	20210	35160
365	20268	35110
366	20322	35052
367	20376	34993
368	20429	34934
369	20478	34868
370	20540	34824
371	20610	34794
372	20668	34742
373	20729	34696
374	20780	34634
375	20835	34578
376	20886	34515
377	20937	34453
378	21002	34412
379	21059	34359
380	21111	34299
381	21168	34246
382	21219	34184
383	21273	34126
384	21331	34074
385	21386	34018
386	21459	33991
387	21520	33944
388	21576	33890
389	21654	33869
390	21724	33837
391	21798	33810
392	21874	33785
393	21949	33759
394	22037	33754
