iter	Passed	Remaining
0	45	4533
1	79	3871
2	124	4037
3	155	3725
4	186	3544
5	215	3368
6	247	3292
7	278	3198
8	307	3110
9	358	3223
10	422	3419
11	450	3304
12	474	3174
13	497	3058
14	523	2967
15	552	2899
16	578	2822
17	601	2742
18	625	2665
19	654	2618
20	680	2558
21	703	2495
22	729	2441
23	762	2414
24	786	2358
25	810	2308
26	849	2296
27	878	2258
28	903	2211
29	927	2164
30	956	2128
31	980	2083
32	1004	2039
33	1027	1995
34	1061	1971
35	1088	1935
36	1111	1892
37	1136	1854
38	1167	1826
39	1194	1791
40	1221	1757
41	1252	1729
42	1277	1693
43	1303	1658
44	1328	1624
45	1361	1597
46	1398	1577
47	1427	1546
48	1456	1515
49	1482	1482
50	1508	1449
51	1534	1416
52	1563	1386
53	1589	1353
54	1616	1322
55	1655	1300
56	1687	1272
57	1714	1241
58	1738	1208
59	1770	1180
60	1798	1149
61	1822	1117
62	1850	1086
63	1894	1065
64	1938	1043
65	1987	1023
66	2033	1001
67	2064	971
68	2106	946
69	2132	913
70	2159	882
71	2185	849
72	2212	818
73	2237	786
74	2268	756
75	2293	724
76	2329	695
77	2362	666
78	2404	639
79	2430	607
80	2459	576
81	2486	545
82	2514	515
83	2543	484
84	2571	453
85	2595	422
86	2620	391
87	2643	360
88	2675	330
89	2702	300
90	2727	269
91	2758	239
92	2784	209
93	2810	179
94	2834	149
95	2862	119
96	2889	89
97	2914	59
98	2938	29
99	2970	0
