iter	RMSE
0	165.8660908
1	156.667407
2	152.0582485
3	149.2654809
4	146.4608767
5	144.6025338
6	142.2777512
7	141.0822333
8	139.4212566
9	138.9364278
10	137.5494543
11	136.880943
12	135.9995828
13	135.5663091
14	135.3015446
15	134.6648201
16	133.9808186
17	133.5953117
18	133.2851421
19	133.0276715
20	132.2614305
21	131.7636003
22	131.3327481
23	130.4470404
24	129.9175411
25	129.7811574
26	129.5223802
27	129.1465184
28	128.7355207
29	128.1472177
30	127.9329889
31	127.9103896
32	127.6793211
33	127.2149543
34	126.5798062
35	126.2490857
36	126.0243298
37	125.5784338
38	125.379985
39	124.9052973
40	124.4400651
41	124.128898
42	123.9368468
43	123.6090243
44	123.4503385
45	123.2220342
46	123.0526232
47	122.8696057
48	122.6771905
49	122.5249168
50	122.2423503
51	122.0559952
52	121.810834
53	121.8065836
54	121.36567
55	121.2299097
56	121.0756946
57	121.0032933
58	120.9259017
59	120.6449766
60	120.4302003
61	120.3524683
62	120.1777253
63	119.9430607
64	119.7898947
65	119.7004158
66	119.5021448
67	119.4314687
68	119.4088572
69	119.1653926
70	118.9426037
71	118.7805728
72	118.6940213
73	118.6476558
74	118.4814267
75	118.3709815
76	118.2642873
77	118.1730056
78	118.1625978
79	118.0726502
80	117.933601
81	117.8455636
82	117.5072381
83	117.4229829
84	117.2610979
85	117.1987327
86	117.1954389
87	117.1180271
88	116.9522314
89	116.7704429
90	116.6249453
91	116.4535771
92	116.284495
93	116.1405076
94	116.1115695
95	116.0486642
96	115.8525327
97	115.725174
98	115.5850351
99	115.4015048
